coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,source_file,liquidity_ratio,price_ma_3,price_ma_5,vol_3d,lr_ema_3
Alchemix USD,ALUSD,0.998794,-0.0,0.0,0.001,142769.0,208931720.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0006833285055998,0.9979825,0.9979825,0.0011476343058657171,0.007600540315172
Alchemy Pay,ACH,0.040564968565,0.018,0.035,-0.003,9350241.0,166194387.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0562608711929603,0.040564968565,0.040564968565,,0.0562608711929603
Alchemy Pay,ACH,0.040004817834,0.005,-0.013,-0.045,6824925.0,164599197.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0414639021598629,0.0402848931995,0.0402848931995,0.00039608638037670336,0.0488623866764116
Algorand,ALGO,0.731009,0.025,0.0139999999999999,-0.01,151572159.0,4824820884.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0314150851698228,0.731009,0.731009,,0.0314150851698228
Algorand,ALGO,0.755697,0.013,0.034,-0.017,138333415.0,5010872275.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0276066535741025,0.7433529999999999,0.7433529999999999,0.017457052213933476,0.02951086937196265
Alien Worlds,TLM,0.096545880435,0.036,0.039,-0.002,44383919.0,119120382.0,2022-03-16,coin_gecko_2022-03-16.csv,0.3725971849217206,0.096545880435,0.096545880435,,0.3725971849217206
Alien Worlds,TLM,0.099181828389,0.008,0.0279999999999999,-0.019,53533075.0,123122031.0,2022-03-17,coin_gecko_2022-03-17.csv,0.4347968805030515,0.09786385441199999,0.09786385441199999,0.001863896673128213,0.40369703271238605
AllianceBlock,ALBT,0.222035,0.025,0.075,0.046,594392.0,85612394.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0069428265257948,0.222035,0.222035,,0.0069428265257948
AllianceBlock,ALBT,0.229837,-0.003,0.038,0.053,380133.0,88953339.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0042733977641918,0.22593600000000003,0.22593600000000003,0.005516847106817436,0.0056081121449933005
Alpha Finance,ALPHA,0.279294,0.018,0.054,0.021,7405255.0,124373230.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0595405860248222,0.279294,0.279294,,0.0595405860248222
